UCP,Variable,FECHA,TIPO_DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,Total,PO19,PO20,PO21
MC-Cali,Demanda_Real,2022-08-07,7--AGO,365.29096,349.10522,336.65759,318.46385,305.15772,297.58401,282.10178,303.23336,330.1683,356.08866,375.14689,396.46452,415.34335,415.93144,408.31535,406.05314,404.65778,400.78899,426.77547,451.70018,444.11291,427.74504,402.18953,372.59035,8991.66639,441.0,443.0,439.0
MC-Cali,Demanda_Real,2022-08-08,LUNES,350.63118,334.24428,325.93422,321.60293,327.02571,346.72201,365.71653,419.50916,475.54006,509.15359,541.61268,569.58116,567.00588,549.72429,577.06277,583.24037,571.0584,520.82163,523.12541,539.30601,514.3565,479.7884,438.42962,400.25711,11151.4499,532.0,533.0,517.0
MC-Cali,Demanda_Real,2022-08-09,MARTES,375.55166,360.73175,354.15288,348.92533,354.5886,384.54495,400.60442,455.03224,520.0584,544.79388,573.04359,598.97387,590.75567,587.82856,591.51882,592.61825,585.85069,556.29093,561.88721,567.14132,546.47364,509.30876,460.99989,425.20322,11846.87853,553.0,552.0,537.0
MC-Cali,Demanda_Real,2022-08-10,MIERCOLES,395.99754,375.74136,372.66573,365.31307,374.34048,393.55609,406.95337,461.04955,507.483,534.74765,568.53656,591.90906,593.45233,600.10357,615.89579,618.34976,600.74848,556.06697,557.55367,575.09179,544.63315,512.10433,467.65795,426.27931,12016.23056,558.0,558.0,540.0
MC-Cali,Demanda_Real,2022-08-11,JUEVES,401.44792,385.64748,371.72185,362.21612,369.1677,382.51156,408.28279,455.75424,498.76026,533.70927,563.50764,588.21785,584.40615,584.37435,604.87402,605.11445,593.07723,551.48715,548.41123,547.32936,532.68932,505.0131,459.75795,420.72368,11858.20267,547.0,547.0,532.0
MC-Cali,Demanda_Real,2022-08-12,VIERNES,395.15508,378.87785,370.71648,359.66361,369.88272,388.32785,406.30089,460.82654,507.55547,540.78273,573.05238,575.80833,573.62461,571.46207,594.84611,599.63446,587.84335,544.67361,548.56264,558.19014,532.28813,494.58562,462.24764,424.88045,11819.78876,544.0,550.0,527.0
MC-Cali,Demanda_Real,2022-08-13,SAALF,400.54673,385.74843,368.95275,363.2027,363.87033,369.91364,369.79459,415.20993,461.13539,484.89387,511.57098,526.54961,527.52973,508.48934,493.06774,485.94726,485.0912,478.28019,497.94644,510.63872,485.93449,449.08248,411.37892,384.91705,10739.69251,498.0,497.0,482.0
MC-Cali,Demanda_Real,2022-08-14,DOALF,366.98987,351.71585,329.72534,329.94278,324.36178,324.18163,306.88362,326.03935,354.2933,377.00909,400.99103,417.18083,432.23054,427.37046,421.62855,416.90254,409.08153,403.28242,440.83752,451.81359,438.53179,416.85248,398.85843,370.7939,9237.49822,444.0,446.0,431.0
MC-Cali,Demanda_Real,2022-08-15,LF,353.13106,333.4666,320.71236,309.46815,296.59505,296.74233,287.44064,307.18204,333.37971,357.83378,381.08508,404.47665,422.69054,421.39454,408.69677,405.78132,403.33353,405.0054,430.97906,450.46751,439.92863,422.33748,400.64459,385.53772,8978.31054,446.0,447.0,441.0
MC-Cali,Demanda_Real,2022-08-16,MADLF,365.96295,350.59784,338.92135,338.84167,346.93969,365.28879,381.74457,437.00986,491.47769,524.55603,557.13502,575.0309,581.07683,581.87494,595.44393,600.17127,581.95882,536.6843,540.42603,559.52085,541.45097,502.23789,461.65934,424.44623,11580.45776,553.0,548.0,539.0
MC-Cali,Demanda_Real,2022-08-17,MIERCOLES,400.70978,383.27556,373.27701,365.49936,372.96607,390.68755,406.4167,465.0816,519.21242,552.89476,582.00855,602.50563,609.62537,607.20582,614.41015,623.34952,605.27596,571.51106,564.58418,574.58724,549.28554,516.02997,473.0202,425.8608,12149.2808,565.0,563.0,552.0
MC-Cali,Demanda_Real,2022-08-18,JUEVES,405.02669,388.17601,377.62787,373.90929,377.63639,394.16249,416.80554,470.57723,518.01908,546.06815,579.29998,598.50809,600.03006,591.41834,609.57556,621.69157,601.15027,550.85488,543.67532,548.15929,530.97873,495.74313,455.66011,421.42418,12016.17825,532.0,535.0,528.0
MC-Cali,Demanda_Real,2022-08-19,VIERNES,393.42634,377.09019,370.34365,364.36362,370.28496,385.94272,404.65687,457.04861,501.13606,533.09764,565.10701,582.45491,580.73143,590.59855,601.28235,608.31775,592.37756,551.75576,553.8986,562.82502,536.70338,501.68391,466.56767,435.60337,11887.29793,553.0,551.0,538.0
MC-Cali,Demanda_Real,2022-08-20,SABADO,408.51651,385.28693,373.25223,364.66619,365.61595,372.89291,378.98593,423.50063,469.95652,502.03017,527.93039,541.39079,539.24863,518.9484,503.96894,496.59637,479.23768,478.31573,505.78256,517.47926,494.98233,461.71896,418.73027,393.10029,10922.13457,506.0,503.0,487.0
